SurveyDateStamp	SurveyType	SurveyID	Reach_Name	Reach_ID	Cell_Size	Use	pctCoverage
20130130		IL_CS_MVR_20130130_CS_30463056_13A	Cal Sag Channel RM 304 - 305	IL_CS_MVR_2	10	1	32.08
20210304		IL_CS_MVR_20210304_CS_30303050_21A	Cal Sag Channel RM 304 - 305	IL_CS_MVR_2	10	1	89.8
20010206		IL_CS_MVR_20010206_CS_30303200_01A	Cal Sag Channel RM 305 - 306	IL_CS_MVR_3	10	1	87.12
20040224		IL_CS_MVR_20040224_CS_30603070_04A	Cal Sag Channel RM 305 - 306	IL_CS_MVR_3	10	1	1.03
20040225		IL_CS_MVR_20040225_CS_30503060_04A	Cal Sag Channel RM 305 - 306	IL_CS_MVR_3	10	1	94.39
20080128		IL_CS_MVR_20080128_CS_30403050_08A	Cal Sag Channel RM 305 - 306	IL_CS_MVR_3	10	1	8.31
20080128		IL_CS_MVR_20080128_CS_30503060_08A	Cal Sag Channel RM 305 - 306	IL_CS_MVR_3	10	1	87.18
20100210		IL_CS_MVR_20100210_CS_30403050_10A	Cal Sag Channel RM 305 - 306	IL_CS_MVR_3	10	1	5.39
20100217		IL_CS_MVR_20100217_CS_30503060_10A	Cal Sag Channel RM 305 - 306	IL_CS_MVR_3	10	1	90.81
20110302		IL_CS_MVR_20110302_CS_30403050_11A	Cal Sag Channel RM 305 - 306	IL_CS_MVR_3	10	1	1.03
20110302		IL_CS_MVR_20110302_CS_30503060_11A	Cal Sag Channel RM 305 - 306	IL_CS_MVR_3	10	1	93.71
20130130		IL_CS_MVR_20130130_CS_30463056_13A	Cal Sag Channel RM 305 - 306	IL_CS_MVR_3	10	1	56.81
20130130		IL_CS_MVR_20130130_CS_30563066_13A	Cal Sag Channel RM 305 - 306	IL_CS_MVR_3	10	1	42.94
20210203		IL_CS_MVR_20210203_CS_30603070_21A	Cal Sag Channel RM 305 - 306	IL_CS_MVR_3	10	1	12.24
20210304		IL_CS_MVR_20210304_CS_30303050_21A	Cal Sag Channel RM 305 - 306	IL_CS_MVR_3	10	1	6.97
20210304		IL_CS_MVR_20210304_CS_30503060_21A	Cal Sag Channel RM 305 - 306	IL_CS_MVR_3	10	1	85.93
20010206		IL_CS_MVR_20010206_CS_30303200_01A	Cal Sag Channel RM 306 - 307	IL_CS_MVR_4	10	1	82.8
20040224		IL_CS_MVR_20040224_CS_30603070_04A	Cal Sag Channel RM 306 - 307	IL_CS_MVR_4	10	1	89.89
20050208		IL_CS_MVR_20050208_CS_30653074_05A	Cal Sag Channel RM 306 - 307	IL_CS_MVR_4	10	1	38.49
20080128		IL_CS_MVR_20080128_CS_30503060_08A	Cal Sag Channel RM 306 - 307	IL_CS_MVR_4	10	1	2.47
20080128		IL_CS_MVR_20080128_CS_30603070_08A	Cal Sag Channel RM 306 - 307	IL_CS_MVR_4	10	1	89.24
20100217		IL_CS_MVR_20100217_CS_30503060_10A	Cal Sag Channel RM 306 - 307	IL_CS_MVR_4	10	1	5.6
20100217		IL_CS_MVR_20100217_CS_30603070_10A	Cal Sag Channel RM 306 - 307	IL_CS_MVR_4	10	1	85.38
20110302		IL_CS_MVR_20110302_CS_30503060_11A	Cal Sag Channel RM 306 - 307	IL_CS_MVR_4	10	1	1.56
20110302		IL_CS_MVR_20110302_CS_30603070_11A	Cal Sag Channel RM 306 - 307	IL_CS_MVR_4	10	1	83.79
20130130		IL_CS_MVR_20130130_CS_30563066_13A	Cal Sag Channel RM 306 - 307	IL_CS_MVR_4	10	1	50.1
20130131		IL_CS_MVR_20130131_CS_30663076_13A	Cal Sag Channel RM 306 - 307	IL_CS_MVR_4	10	1	45.53
20210203		IL_CS_MVR_20210203_CS_30603070_21A	Cal Sag Channel RM 306 - 307	IL_CS_MVR_4	10	1	78.19
20210203		IL_CS_MVR_20210203_CS_30703090_21A	Cal Sag Channel RM 306 - 307	IL_CS_MVR_4	10	1	4.74
20210304		IL_CS_MVR_20210304_CS_30503060_21A	Cal Sag Channel RM 306 - 307	IL_CS_MVR_4	10	1	3.32
20010206		IL_CS_MVR_20010206_CS_30303200_01A	Cal Sag Channel RM 307 - 308	IL_CS_MVR_5	10	1	83.52
20040224		IL_CS_MVR_20040224_CS_30703080_04A	Cal Sag Channel RM 307 - 308	IL_CS_MVR_5	10	1	88.17
20040224		IL_CS_MVR_20040224_CS_30803090_04A	Cal Sag Channel RM 307 - 308	IL_CS_MVR_5	10	1	1.04
20050208		IL_CS_MVR_20050208_CS_30653074_05A	Cal Sag Channel RM 307 - 308	IL_CS_MVR_5	10	1	31.48
20050208		IL_CS_MVR_20050208_CS_30743085_05A	Cal Sag Channel RM 307 - 308	IL_CS_MVR_5	10	1	49.62
20080128		IL_CS_MVR_20080128_CS_30603070_08A	Cal Sag Channel RM 307 - 308	IL_CS_MVR_5	10	1	1.97
20080206		IL_CS_MVR_20080206_CS_30703080_08A	Cal Sag Channel RM 307 - 308	IL_CS_MVR_5	10	1	89.01
20100217		IL_CS_MVR_20100217_CS_30603070_10A	Cal Sag Channel RM 307 - 308	IL_CS_MVR_5	10	1	5.23
20100217		IL_CS_MVR_20100217_CS_30703080_10A	Cal Sag Channel RM 307 - 308	IL_CS_MVR_5	10	1	84.4
20110302		IL_CS_MVR_20110302_CS_30603070_11A	Cal Sag Channel RM 307 - 308	IL_CS_MVR_5	10	1	1.58
